Metric,May 2025,Apr 2025,Mar 2025,Feb 2025,Jan 2025,Dec 2024,Nov 2024,Oct 2024,Sep 2024,Aug 2024,Jul 2024,Jun 2024,May 2024,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,Jun 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019,Jul 2019,Jun 2019,May 2019,Apr 2019,Mar 2019,Feb 2019,Jan 2019,Dec 2018,Nov 2018,Oct 2018,Sep 2018,Aug 2018,Jul 2018,Jun 2018,May 2018,Apr 2018,Mar 2018,Feb 2018,Jan 2018,Dec 2017,Nov 2017,Oct 2017,Sep 2017,Aug 2017,Jul 2017,Jun 2017,May 2017,Apr 2017,Mar 2017,Feb 2017,Jan 2017,Dec 2016,Nov 2016,Oct 2016,Sep 2016,Aug 2016,Jul 2016,Jun 2016,May 2016,Apr 2016,Mar 2016,Feb 2016,Jan 2016,Dec 2015,Nov 2015,Oct 2015,Sep 2015,Aug 2015,Jul 2015,Jun 2015,May 2015,Apr 2015,Mar 2015,Feb 2015,Jan 2015,Dec 2014,Nov 2014,Oct 2014,Sep 2014,Aug 2014,Jul 2014,Jun 2014,May 2014,Apr 2014,Mar 2014,Feb 2014,Jan 2014,Dec 2013,Nov 2013,Oct 2013,Sep 2013,Aug 2013,Jul 2013,Jun 2013,May 2013,Apr 2013,Mar 2013,Feb 2013
Fees,14700,22300,26800,30500,51700,83400,62800,32900,30500,35300,55400,79600,110900,131100,213100,182300,235000,152800,82800,44900,53500,39800,52400,41400,48800,52100,56000,62700,48300,35800,46300,53600,65300,42900,39400,25700,60000,117700,177800,108600,143000,60600,81300,149500,136800,44000,29000,12500,22100,24700,20400,15300,4200,2000,1800,1700,1600,2400,1100,628.9,498.2,372.3,344.8,747.8,631.3,345.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
(Supply-side fees),13200,20000,24100,27400,46600,75100,56500,29600,27500,31700,49900,71600,99800,118000,191800,164100,211500,137600,74500,40400,48100,35800,47200,37300,43900,46900,50400,56500,43400,34100,45400,52600,64000,42000,38600,25100,58800,115300,174200,106400,140100,59400,79600,146600,134100,43100,28400,12200,21600,24300,20000,15000,4100,1900,1800,1600,1600,2300,1000,616.3,488.3,364.9,337.9,732.8,618.6,338.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Revenue,1500,2200,2700,3000,5200,8300,6300,3300,3100,3500,5500,8000,11100,13100,21300,18200,23500,15300,8300,4500,5300,4000,5200,4100,4900,5200,5600,6300,4800,1700,926.2,1100,1300,857.4,788.6,513.2,1200,2400,3600,2200,2900,1200,1600,3000,2700,879.2,579.2,249.5,441.3,495.0,408.6,306.6,83.5,39.2,37.0,33.4,32.0,47.5,21.4,12.6,10.0,7.4,6.9,15.0,12.6,6.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Price,4.7,4.3,4.4,4.8,6.5,8.1,6.1,4.5,4.4,4.9,6.2,7.4,8.6,9.4,12.5,10.1,9.9,10.8,9.0,6.9,6.9,7.9,9.3,9.3,10.8,11.5,11.8,13.9,12.0,9.4,11.2,12.5,14.1,11.4,9.4,7.8,12.6,24.8,29.0,28.1,36.2,25.8,32.0,35.7,32.5,17.0,11.9,12.4,20.1,21.7,19.6,17.6,7.2,5.2,5.2,5.3,5.1,5.9,3.7,2.8,2.6,2.4,2.5,4.5,4.4,4.0,3.7,2.9,2.6,3.0,4.4,6.3,4.6,4.1,4.4,3.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Circulating supply,448700000,445200000,440700000,436300000,415200000,390700000,390700000,390700000,390700000,390700000,390700000,390700000,390700000,390700000,390100000,384800000,382900000,309700000,292600000,292600000,292600000,292600000,292600000,292600000,292600000,292600000,292600000,292600000,292600000,292600000,292600000,292600000,292600000,292600000,292600000,292600000,292600000,292400000,290500000,288300000,286200000,283900000,282400000,280800000,279200000,277600000,276000000,242200000,238500000,238500000,238500000,238500000,238500000,238500000,238500000,238500000,238500000,233100000,189300000,186200000,186900000,185900000,187800000,190700000,189200000,209700000,247300000,245900000,244400000,243000000,241500000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fully diluted market cap,2100000000,1900000000,2000000000,2100000000,2700000000,3200000000,2400000000,1700000000,1700000000,1900000000,2400000000,2900000000,3400000000,3700000000,4900000000,3900000000,3800000000,4300000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Circulating market cap,2100000000,1900000000,2000000000,2100000000,2700000000,3200000000,2400000000,1700000000,1700000000,1900000000,2400000000,2900000000,3400000000,3700000000,4900000000,3900000000,3800000000,3300000000,2600000000,2000000000,2000000000,2300000000,2700000000,2700000000,3200000000,3400000000,3500000000,4099999999,3500000000,2800000000,3300000000,3600000000,4099999999,3300000000,2800000000,2300000000,3700000000,7300000000,8400000000,8100000000,10400000000,7300000000,9000000000,10000000000,9100000000,4700000000,3300000000,3000000000,4800000000,5200000000,4700000000,4200000000,1700000000,1200000000,1200000000,1300000000,1200000000,1400000000,694900000,518799999,492600000,448000000,464800000,850300000,833800000,841300000,909500000,707500000,643100000,727200000,1100000000,1500000000,1100000000,977000000,926500000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Token trading volume,1900000000,3800000000,4099999999,4700000000,6000000000,12800000000,11800000000,4500000000,4400000000,5300000000,5800000000,4700000000,5400000000,6900000000,10700000000,5200000000,5800000000,8199999999,6300000000,4000000000,2600000000,3700000000,2700000000,3100000000,3200000000,4600000000,5400000000,5500000000,5700000000,3100000000,7600000000,7800000000,15100000000,9500000000,13000000000,7900000000,14600000000,15200000000,23400000000,19700000000,52000000000,19200000000,16300000000,22800000000,46100000000,15600000000,14500000000,15500000000,33200000000,34400000000,26600000000,38100000000,22500000000,6700000000,7100000000,6900000000,9100000000,12600000000,5500000000,4300000000,4500000000,4500000000,4600000000,8100000000,5000000000,4900000000,4800000000,4500000000,4600000000,3700000000,5000000000,4000000000,2800000000,1000000000,78900000,43600,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Token turnover (fully diluted),5.2,6.5,6.9,8.1,7.2,12.5,15.7,8.2,8.8,9.1,7.7,5.5,5.1,6.5,7.0,4.6,4.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Token turnover (circulating),5.2,6.5,6.9,8.1,7.2,12.5,15.7,8.2,8.8,9.1,7.8,5.5,5.1,6.5,7.0,4.6,4.9,7.9,8.0,6.3,4.2,5.2,3.2,3.9,3.2,4.6,5.0,4.8,5.2,3.6,7.3,6.8,12.1,9.1,15.3,11.8,13.4,6.8,8.9,8.6,16.2,8.1,6.0,7.3,16.6,10.1,14.3,17.4,22.6,22.0,18.2,32.1,41.1,17.3,19.1,17.8,24.9,28.0,25.3,27.7,29.6,33.4,34.6,32.8,19.3,18.8,18.0,20.4,23.8,16.8,16.1,9.0,8.1,3.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
