Metric,May 2025,Apr 2025,Mar 2025,Feb 2025,Jan 2025,Dec 2024,Nov 2024,Oct 2024,Sep 2024,Aug 2024,Jul 2024,Jun 2024,May 2024,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,Jun 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019
Fees,363800,234600,432100,640300,426800,1700000,1500000,726400,612400,743000,746300,668600,900100,1900000,3500000,2200000,1800000,53600000,2600000,392300,304300,589700,1000000,1100000,1400000,2000000,666500,554600,622100,338200,509700,595600,625000,873000,812000,1000000,10100000,27000000,24100000,16600000,11600000,13000000,14100000,3100000,4600000,2600000,196900,274300,1200000,563400,863200,569400,13500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
(Supply-side fees),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Revenue,363800,234600,432100,640300,426800,1700000,1500000,726400,612400,743000,746300,668600,900100,1900000,3500000,2200000,1800000,53600000,2600000,392300,304300,589700,1000000,1100000,1400000,2000000,666500,554600,622100,338200,509700,595600,625000,873000,812000,1000000,10100000,27000000,24100000,16600000,11600000,13000000,14100000,3100000,4600000,2600000,196900,274300,1200000,563400,863200,569400,13500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Price,22.5,19.6,19.9,25.1,37.4,44.7,34.3,26.8,25.1,22.6,27.4,30.3,36.1,40.1,50.9,38.1,35.0,37.0,17.8,9.9,9.4,11.4,13.5,12.8,15.2,18.1,16.6,19.3,15.8,12.5,14.4,16.6,18.4,24.4,20.9,19.8,37.9,78.9,81.0,80.6,83.7,103.0,99.6,61.7,57.8,28.4,11.7,14.1,28.7,29.6,29.3,31.0,9.2,3.3,3.6,4.0,4.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Circulating supply,418200000,415900000,414500000,412800000,411100000,409700000,408100000,406700000,405700000,398900000,394600000,393500000,385100000,378000000,377300000,370100000,366700000,365600000,357700000,354700000,353900000,346400000,345800000,344900000,333500000,326500000,325500000,315800000,312900000,310900000,300800000,296700000,295500000,285100000,283600000,280900000,269500000,268200000,264700000,245400000,244400000,241200000,221400000,220300000,214400000,173800000,172500000,164000000,129100000,128500000,115500000,76900000,76900000,63400000,24500000,24500000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fully diluted market cap,10200000000,8900000000,9000000000,11300000000,16800000000,20000000000,15300000000,12000000000,11200000000,10100000000,12200000000,13400000000,15900000000,17500000000,22200000000,16600000000,15200000000,16000000000,7700000000,4300000000,4000000000,4900000000,5600000000,5300000000,6400000000,7500000000,6900000000,8100000000,6600000000,5200000000,6000000000,6900000000,7700000000,10100000000,8600000000,8100000000,14700000000,29800000000,30600000000,30500000000,31600000000,38900000000,37600000000,23300000000,21800000000,10700000000,4400000000,5300000000,10800000000,11200000000,11000000000,11200000000,3300000000,1200000000,1300000000,1500000000,1600000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Circulating market cap,9400000000,8199999999,8300000000,10300000000,15400000000,18300000000,14000000000,10900000000,10200000000,9000000000,10800000000,11900000000,13900000000,15200000000,19200000000,14100000000,12800000000,13500000000,6400000000,3500000000,3300000000,4000000000,4700000000,4400000000,5100000000,5900000000,5400000000,6100000000,5000000000,3900000000,4300000000,4900000000,5400000000,6900000000,5900000000,5600000000,10200000000,21200000000,21500000000,19800000000,20500000000,24800000000,22000000000,13600000000,12500000000,5000000000,2000000000,2300000000,3700000000,3800000000,3400000000,2400000000,711400000,202400000,89200000,98800000,109800000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Token trading volume,7500000000,10100000000,11800000000,13500000000,15100000000,30900000000,29500000000,10700000000,9900000000,10200000000,12700000000,10500000000,13100000000,18800000000,41400000000,17900000000,22000000000,42300000000,19400000000,6200000000,3200000000,3600000000,4900000000,4700000000,4400000000,7000000000,7100000000,9500000000,13400000000,4000000000,8400000000,6500000000,8199999999,15300000000,17700000000,16899999999,26500000000,23000000000,35200000000,29600000000,25000000000,38300000000,42700000000,20300000000,48400000000,19500000000,1800000000,2900000000,11800000000,10300000000,11800000000,11400000000,3700000000,764100000,679100000,355100000,779200000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Token turnover (fully diluted),4.2,3.9,4.2,4.3,2.9,4.8,6.2,2.9,2.9,3.3,3.4,2.7,2.7,3.7,5.9,3.7,4.6,8.5,8.2,4.6,2.7,2.4,2.8,3.0,2.2,3.0,3.3,4.2,6.2,2.5,4.5,3.0,3.6,4.9,6.6,7.2,6.4,2.5,3.7,3.5,2.7,3.2,3.7,2.8,7.4,4.5,1.3,1.8,3.5,3.0,3.4,3.4,3.7,2.1,1.7,0.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Token turnover (circulating),4.6,4.2,4.6,4.7,3.2,5.2,6.8,3.2,3.2,3.7,3.8,3.0,3.1,4.3,6.8,4.3,5.5,10.1,9.9,5.6,3.3,3.0,3.4,3.6,2.8,3.9,4.3,5.5,8.3,3.3,6.2,4.2,5.0,7.1,9.5,10.5,9.2,3.5,5.3,5.3,4.1,5.0,6.2,4.8,13.1,9.8,2.9,4.2,10.1,8.8,11.5,16.1,17.2,14.3,25.5,11.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
