metrique,fenetre_mois,correlation,p_value,significativite,n_observations
Net deposits,1,0.35906885192933413,7.667265693168554e-27,Très significatif (p<0.001),836
Net deposits,6,0.2819609630396591,3.017593094467563e-15,Très significatif (p<0.001),754
Net deposits,12,0.2478435075081009,1.6946422459754555e-11,Très significatif (p<0.001),717
Net deposits,24,-0.0015906778931585042,0.9710785327453195,Non significatif (p≥0.05),522
Active loans,1,0.3106664449595807,9.120556693847889e-07,Très significatif (p<0.001),240
Active loans,6,0.33098058645045625,7.277626689238047e-07,Très significatif (p<0.001),214
Active loans,12,0.5538344458087051,6.584960710669007e-17,Très significatif (p<0.001),193
Active loans,24,0.20758372095671054,0.013854566500486927,Modérément significatif (p<0.05),140
Outstanding supply,1,0.22811925663128374,0.0014191693237564152,Significatif (p<0.01),193
Outstanding supply,6,0.2279397801698323,0.002713919106366255,Significatif (p<0.01),171
Outstanding supply,12,0.13817070060544046,0.07408259730297038,Non significatif (p≥0.05),168
Outstanding supply,24,0.0626801254479747,0.4752315643673601,Non significatif (p≥0.05),132
Trading volume,1,0.4281778880444526,5.359122421255884e-19,Très significatif (p<0.001),394
Trading volume,6,0.39401620604828747,1.4925152249564094e-13,Très significatif (p<0.001),326
Trading volume,12,0.39789076883316404,6.303725828206929e-14,Très significatif (p<0.001),329
Trading volume,24,0.18390916631409684,0.0031431654346381825,Significatif (p<0.01),256
Fees,1,0.3145118769486348,7.767038654656956e-34,Très significatif (p<0.001),1414
Fees,6,0.317856771875362,6.283545579763595e-31,Très significatif (p<0.001),1258
Fees,12,0.22768094018092339,4.435216616335133e-16,Très significatif (p<0.001),1243
Fees,24,-0.015015269298422342,0.6420075545740778,Non significatif (p≥0.05),961
(Supply-side fees),1,0.38465615980687295,1.9895460787349832e-33,Très significatif (p<0.001),909
(Supply-side fees),6,0.3395952808784835,2.4372069708551514e-23,Très significatif (p<0.001),811
(Supply-side fees),12,0.29591966794309926,9.39890638824472e-18,Très significatif (p<0.001),806
(Supply-side fees),24,0.06972701093593386,0.08377886954325099,Non significatif (p≥0.05),616
Revenue,1,0.29691784305960245,4.511067483563101e-28,Très significatif (p<0.001),1310
Revenue,6,0.3362786348748389,2.5242399282516515e-32,Très significatif (p<0.001),1170
Revenue,12,0.21486023277571117,2.2076433534275258e-13,Très significatif (p<0.001),1141
Revenue,24,-0.011423718637390463,0.736949659706325,Non significatif (p≥0.05),867
(Expenses),1,0.26168505895790056,2.0439194083859774e-18,Très significatif (p<0.001),1083
(Expenses),6,0.23181098717972806,3.7312143145342983e-14,Très significatif (p<0.001),1040
(Expenses),12,0.20603887213167327,2.862409052458601e-11,Très significatif (p<0.001),1023
(Expenses),24,0.030083080926639538,0.4075823406857525,Non significatif (p≥0.05),760
(Token incentives),1,0.2693225901991292,3.278337219652669e-18,Très significatif (p<0.001),1008
(Token incentives),6,0.2331770403104214,1.7102296422147446e-13,Très significatif (p<0.001),974
(Token incentives),12,0.1972882962169749,5.393738573466864e-10,Très significatif (p<0.001),973
(Token incentives),24,0.10399422796931404,0.004944154551359069,Significatif (p<0.01),729
Earnings,1,0.1745747340870954,9.471833437894378e-09,Très significatif (p<0.001),1067
Earnings,6,0.23038574598818207,3.0941388772877175e-13,Très significatif (p<0.001),977
Earnings,12,0.2120948705683049,2.6232980133731205e-11,Très significatif (p<0.001),968
Earnings,24,0.10293507624267642,0.004556106306303199,Significatif (p<0.01),758
Treasury,1,0.4335004167817289,2.9364107043152457e-41,Très significatif (p<0.001),872
Treasury,6,0.42356806525733676,9.769834703421623e-36,Très significatif (p<0.001),790
Treasury,12,0.3472291473730066,5.887301367894057e-23,Très significatif (p<0.001),760
Treasury,24,0.21458568856248267,2.0469447962215852e-07,Très significatif (p<0.001),575
Treasury (net),1,0.32065211134840976,4.862968035317881e-21,Très significatif (p<0.001),819
Treasury (net),6,0.32416557594677176,6.228059279752979e-19,Très significatif (p<0.001),714
Treasury (net),12,0.39611282533416803,1.3515940786483567e-26,Très significatif (p<0.001),670
Treasury (net),24,0.21855367041638588,2.2228992231305136e-06,Très significatif (p<0.001),460
Price,1,0.4794473287372665,1.2047318054527709e-83,Très significatif (p<0.001),1440
Price,6,0.48939005536781205,9.618367608963053e-82,Très significatif (p<0.001),1342
Price,12,0.46386159333093646,1.185699493137165e-69,Très significatif (p<0.001),1287
Price,24,0.2328611497843952,2.671049567711446e-13,Très significatif (p<0.001),961
Circulating supply,1,0.03943076353804494,0.14464601813738562,Non significatif (p≥0.05),1370
Circulating supply,6,-0.04970902641103395,0.07318616505668038,Non significatif (p≥0.05),1300
Circulating supply,12,-0.1215773621365471,2.1452264854217253e-05,Très significatif (p<0.001),1215
Circulating supply,24,-0.10400808484177809,0.002179383255585317,Significatif (p<0.01),866
Fully diluted market cap,1,0.47493199841702594,4.076893099229833e-79,Très significatif (p<0.001),1390
Fully diluted market cap,6,0.48848190948103454,1.009201929880202e-77,Très significatif (p<0.001),1280
Fully diluted market cap,12,0.5111326877546944,3.74241676395022e-83,Très significatif (p<0.001),1235
Fully diluted market cap,24,0.25253065704586003,3.363404147812328e-15,Très significatif (p<0.001),944
Circulating market cap,1,0.46396751773449885,1.2982775173939421e-79,Très significatif (p<0.001),1475
Circulating market cap,6,0.4806075293650492,8.291417218466108e-78,Très significatif (p<0.001),1330
Circulating market cap,12,0.4574084378981963,2.3014634407838192e-66,Très significatif (p<0.001),1264
Circulating market cap,24,0.20837033080496847,1.0150228632574163e-10,Très significatif (p<0.001),944
Token trading volume,1,0.3221956472265469,1.3027506302185212e-35,Très significatif (p<0.001),1418
Token trading volume,6,0.32176630596722255,3.6238020561416797e-31,Très significatif (p<0.001),1236
