fond,projet,metrique,fenetre_mois,direction_brute,direction_decorrelée,variation_pct,impact_decorrelé,btc_return
Dragonfly Capital,COMP,Net deposits,1,Positive,Stable,6.145251396648044,-1.8240166803096107,22.19426172484054
Mechanism Capital,PERP,Net deposits,6,Stable,Positive,2.3255813953488373,19.128151866962273,-59.59183246671659
FBG Capital,CAKE,Fees,1,Stable,Négative,-3.7300177619893424,-10.710376674558185,22.19426172484054
HashKey Capital,ATOM,Fees,6,Stable,Négative,-4.464285714285714,-7.359925658005025,9.109889107081065
Arrington XRP Capital,SNX,Fees,12,Stable,Positive,-2.52,11.109948961134023,-59.86425104491919
FBG Capital,CAKE,Revenue,1,Stable,Négative,-3.888888888888889,-10.478761208528832,22.19426172484054
FBG Capital,SYRUP,Revenue,6,Stable,Négative,2.1341463414634148,-6.302615477735154,25.08860493720836
Arrington XRP Capital,SNX,Revenue,12,Stable,Positive,-2.52,10.342446914454944,-59.86425104491919
Arrington XRP Capital,BAL,Treasury,1,Stable,Négative,2.0541549953314657,-9.556562745819262,26.783636858639564
Galaxy Digital,LDO,Treasury,1,Négative,Stable,-5.02031340684852,-3.7458179458936707,-2.940009770732397
Galaxy Digital,1INCH,Treasury,6,Stable,Négative,-2.857142857142857,-21.601509536668313,44.253493634222416
Polychain Capital,SKY,Treasury (net),1,Positive,Négative,8.156862745098044,-9.87038303664997,56.220574085539766
ParaFi Capital,AAVE,Treasury (net),1,Positive,Stable,5.758582502768549,3.6407693220985373,6.604706801287417
Dragonfly Capital,TOR,Treasury (net),6,Stable,Négative,-4.895104895104895,-5.464580020975327,1.7567415176864443
Galaxy Digital,1INCH,Treasury (net),6,Stable,Négative,-4.216867469879518,-18.562326721474022,44.253493634222416
Dragonfly Capital,TOR,Treasury (net),12,Stable,Négative,3.4965034965034967,-7.311866069575586,27.286088394035072
Polychain Capital,RBN,Treasury (net),12,Positive,Stable,60.0,-4.985521132557693,164.0581091453798
Polychain Capital,RBN,Price,1,Stable,Négative,0.0,-9.660264610520215,20.148750512309075
Pantera Capital,MATIC,Price,1,Stable,Positive,0.0,5.892097316904825,-12.289352685357539
Arrington XRP Capital,BAL,Price,1,Stable,Négative,3.539823008849545,-9.301520136894185,26.783636858639564
HashKey Capital,ATOM,Price,1,Stable,Négative,-2.542372881355938,-12.202637491876153,20.148750512309075
