Projet,Métriques uniques,Points de données,Variation moyenne (%)
LDO,29,116,-32.10501297180369
CRV,28,112,32.828132619856326
AAVE,27,108,-22.626353279501284
COMP,27,108,257.6336134687162
RBN,27,105,226.0150991015982
PERP,26,104,50.85389550341569
SNX,25,100,209.44712643663246
LFJ,25,100,51.911326566106844
CVX,25,100,-32.035169742585374
GRT,24,96,154.6440872278283
OP,24,96,2.9550710160241596
1INCH,25,96,484.85861806922463
MATIC,23,92,1304.4872374693848
RDNT,23,92,306.4764857402064
DYDX,24,90,4988.030109406052
CAKE,22,88,-24.494060344048975
BNT,22,88,-32.01480901986195
SPELL,22,88,24.811901851057403
TOR,23,86,-29.48741876359771
BAL,20,80,151.23232542258512
AVAX,18,72,54.44423610228447
LPT,17,68,-2.7100396219511906
QI,15,60,11.159277294113702
ATOM,15,58,13.059361503927997
SKY,14,56,5406553.1547365915
SYRUP,12,48,575.2554341977462
AXS,12,48,-36.554919583824855
LINK,10,40,-8.110052168818648
KNC,8,32,229.76750971934405
