Metric,May 2025,Apr 2025,Mar 2025,Feb 2025,Jan 2025,Dec 2024,Nov 2024,Oct 2024,Sep 2024,Aug 2024,Jul 2024,Jun 2024,May 2024,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,Jun 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019,Jul 2019,Jun 2019,May 2019,Apr 2019,Mar 2019,Feb 2019,Jan 2019,Dec 2018,Nov 2018,Oct 2018,Sep 2018,Aug 2018,Jul 2018,Jun 2018,May 2018,Apr 2018,Mar 2018,Feb 2018,Jan 2018,Dec 2017,Nov 2017,Oct 2017,Sep 2017,Aug 2017,Jul 2017,Jun 2017,May 2017,Apr 2017,Mar 2017,Feb 2017
Net deposits,46200000,34500000,38000000,48500000,61800000,70300000,56300000,48300000,47900000,48900000,59200000,76700000,80100000,83700000,98500000,84100000,75900000,78000000,78500000,68400000,62800000,72600000,76000000,76000000,85700000,103800000,98800000,98000000,86400000,82400000,102600000,117200000,129600000,158900000,166700000,367300000,707700000,1000000000,1100000000,1100000000,1200000000,1300000000,1700000000,1500000000,1500000000,1600000000,1200000000,1300000000,1900000000,1800000000,1500000000,602100000,192700000,107900000,42900000,15600000,14300000,21600000,14300000,10700000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trading volume,6900000,7100000,10800000,11800000,13600000,43600000,20900000,7000000,6100000,13000000,11500000,13600000,20900000,47400000,34000000,24900000,29800000,30000000,121500000,131900000,22400000,146500000,14500000,13700000,10200000,30500000,41500000,36200000,33500000,22800000,83800000,62900000,93700000,102500000,175600000,454400000,476900000,589300000,486000000,499800000,1100000000,1400000000,1800000000,1500000000,1700000000,2000000000,1200000000,1700000000,5300000000,3200000000,2700000000,1800000000,632700000,232300000,91700000,35400000,37400000,125200000,82000000,20600000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fees,59400,54300,86200,106600,126800,100400,58800,19300,14800,33200,26000,33300,40200,182900,143100,87800,100800,128600,658100,526300,90600,640600,60300,76400,75200,147800,211300,184200,170300,134600,398900,228100,363700,383400,613600,1800000,1800000,1900000,1800000,1700000,3300000,2900000,3700000,2900000,2800000,3700000,2500000,3700000,10300000,6400000,5100000,3000000,849600,508700,191900,44800,45700,132000,84900,21000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
(Supply-side fees),21200,16300,27200,35300,46500,27400,13900,4000,2300,5800,3700,5600,6100,52800,37800,23200,25500,38400,229400,172700,29100,215400,18900,26500,26600,48900,69800,60300,55200,43700,108100,49600,82300,81100,82600,953300,1400000,1600000,1500000,1500000,2800000,2500000,3100000,2500000,2500000,3400000,2200000,3300000,9800000,6100000,5100000,3000000,849600,508700,191900,44800,45700,132000,84900,21000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Revenue,38200,38000,59000,71200,80300,73000,44900,15400,12600,27400,22300,27700,34100,130100,105300,64700,75300,90300,428800,353600,61500,425200,41400,49900,48600,98900,141500,124000,115100,90900,290800,178500,281400,302300,396500,186100,249900,280800,262600,257200,500000,437600,548000,352900,276000,373500,245400,355800,514299,302100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
(Expenses),39.1,41.8,384.6,4600,2900,16300,20900,927.7,3000,677.2,1400,1500,17700,13600,25700,90300,16600,31800,41000,16700,4300,8200,5400,8500,2400,22300,5200,142000,10700,12700,37200,29800,32700,191600,229500,4200000,8199999,5300000,9300000,7000000,9000000,12100000,14100000,10700000,12000000,16399999,13800000,13700000,26200000,34200000,35100000,22600000,18700000,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
(Token incentives),39.1,41.8,384.6,4600,2900,16300,20900,927.7,3000,677.2,1400,1500,17700,13600,25700,90300,16600,31800,41000,16700,4300,8200,5400,8500,2400,22300,5200,142000,10700,12700,37200,29800,32700,191600,229500,4200000,8199999,5300000,9300000,7000000,9000000,12100000,14100000,10700000,12000000,16399999,13800000,13700000,26200000,34200000,35100000,22600000,18700000,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Earnings,38160.9,37958.2,58615.4,66600,77400,56700,24000,14472.3,9600,26722.8,20900,26200,16400,116500,79600,-25600,58700,58500,387800,336900,57200,417000,36000,41400,46200,76600,136300,-18000,104400,78200,253600,148700,248700,110700,167000,-4013900,-7950099,-5019200,-9037400,-6742800,-8500000,-11662400,-13552000,-10347100,-11724000,-16026499,-13554600,-13344200,-25685701,-33897900,-35100000,-22600000,-18700000,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Price,0.6,0.4,0.4,0.5,0.7,0.8,0.6,0.5,0.5,0.5,0.6,0.7,0.7,0.8,0.9,0.8,0.7,0.8,0.8,0.5,0.4,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.8,1.5,2.4,2.4,2.5,2.9,3.4,4.3,4.0,4.0,4.1,3.1,3.8,6.2,7.0,7.6,3.9,1.7,1.2,0.8,1.0,1.1,2.1,1.5,0.8,0.3,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.4,0.4,0.6,0.7,0.7,0.7,0.6,0.5,0.6,0.6,1.1,1.4,1.4,1.7,2.5,3.5,4.5,3.3,3.5,5.2,7.9,4.0,2.2,2.1,2.3,2.6,2.2,3.1,N/A,N/A,N/A,N/A
Circulating supply,115100000,115300000,116300000,118100000,118900000,119600000,121300000,124500000,124900000,125300000,125700000,132500000,133199999,130400000,132100000,133300000,134000000,134700000,137900000,142600000,144900000,146700000,149600000,154300000,156800000,160900000,159700000,157400000,161300000,165200000,184000000,190600000,198300000,207600000,219100000,251400000,262700000,261300000,259399999,253800000,248400000,232700000,236000000,230800000,232600000,234200000,232500000,211200000,197100000,179500000,156400000,112500000,100700000,88100000,74700000,65900000,65800000,65800000,65700000,67700000,69800000,69800000,69800000,69800000,69800000,69800000,69800000,69800000,69800000,69800000,68700000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
