Metric,May 2025,Apr 2025,Mar 2025,Feb 2025,Jan 2025,Dec 2024,Nov 2024,Oct 2024,Sep 2024,Aug 2024,Jul 2024,Jun 2024,May 2024,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,Jun 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019,Jul 2019,Jun 2019,May 2019,Apr 2019,Mar 2019,Feb 2019,Jan 2019,Dec 2018,Nov 2018,Oct 2018,Sep 2018,Aug 2018,Jul 2018,Jun 2018,May 2018,Apr 2018,Mar 2018,Feb 2018,Jan 2018,Dec 2017,Nov 2017
Net deposits,1900000000,1900000000,1700000000,1700000000,1800000000,1900000000,1800000000,1700000000,1500000000,1500000000,1600000000,3500000000,4400000000,3000000000,1900000000,1500000000,1400000000,1300000000,1300000000,1200000000,1200000000,1300000000,1400000000,1500000000,1900000000,2000000000,2100000000,2200000000,2100000000,2100000000,2500000000,2700000000,2700000000,2900000000,2700000000,3000000000,3700000000,4400000000,4099999999,4099999999,4300000000,5100000000,5800000000,5000000000,5000000000,5300000000,3900000000,3900000000,5200000000,4500000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trading volume,28200000000,19200000000,26400000000,33600000000,25700000000,29700000000,26700000000,16399999999,14000000000,15500000000,13900000000,14200000000,15200000000,21300000000,34200000000,11100000000,12400000000,12200000000,9600000000,5800000000,4900000000,5400000000,5600000000,5900000000,9600000000,7700000000,5500000000,5300000000,3900000000,3500000000,7300000000,5200000000,5200000000,6500000000,6200000000,8600000000,16800000000,16000000000,14300000000,14600000000,20800000000,34500000000,50400000000,26600000000,21700000000,22500000000,14300000000,16399999999,51000000000,7300000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fees,17200000,27400000,44200000,60900000,30600000,30300000,23100000,17300000,13800000,13700000,11600000,15300000,18000000,20700000,40900000,10700000,12100000,13000000,10700000,6600000,5800000,7400000,9500000,8500000,17300000,13400000,13700000,13300000,9600000,8700000,18200000,12900000,13000000,16300000,15600000,21400000,42000000,39900000,35700000,36500000,52000000,86100000,125900000,66599999,54200000,56300000,35700000,40900000,127400000,18200000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
(Supply-side fees),11500000,18400000,28800000,38700000,20700000,20400000,15500000,11700000,9300000,9200000,7800000,10400000,12200000,14000000,27500000,7200000,8100000,8800000,7200000,4400000,3900000,5000000,6400000,5800000,11700000,9100000,9300000,9000000,6500000,5900000,12400000,8800000,8800000,11100000,10600000,14600000,28500000,27100000,24300000,24800000,35400000,58600000,85600000,45300000,36900000,38300000,24300000,27800000,86600000,12400000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Revenue,5700000,8900000,15300000,22300000,10000000,9900000,7500000,5600000,4500000,4500000,3800000,5000000,5800000,6700000,13400000,3500000,3900000,4200000,3500000,2100000,1900000,2400000,3100000,2800000,5600000,4300000,4400000,4300000,3100000,2800000,5800000,4099999,4200000,5200000,5000000,6900000,13400000,12800000,11400000,11700000,16600000,27600000,40300000,21300000,17300000,18000000,11400000,13100000,40800000,5800000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
(Expenses),922000,2100000,2500000,2300000,2800000,3700000,2500000,2200000,2200000,2100000,2400000,2900000,3300000,3800000,4900000,3100000,3400000,3200000,2700000,1800000,2800000,4200000,5300000,5900000,8900000,26100000,32700000,33000000,31800000,35100000,39200000,44000000,41400000,43600000,40400000,43800000,67500000,43800000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
(Token incentives),922000,2100000,2500000,2300000,2800000,3700000,2500000,2200000,2200000,2100000,2400000,2900000,3300000,3800000,4900000,3100000,3400000,3200000,2700000,1800000,2800000,4200000,5300000,5900000,8900000,26100000,32700000,33000000,31800000,35100000,39200000,44000000,41400000,43600000,40400000,43800000,67500000,43800000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Earnings,4778000,6800000,12800000,20000000,7200000,6200000,5000000,3400000,2300000,2400000,1400000,2100000,2500000,2900000,8500000,400000,500000,1000000,800000,300000,-900000,-1800000,-2200000,-3100000,-3300000,-21800000,-28300000,-28700000,-28700000,-32300000,-33400000,-39900001,-37200000,-38400000,-35400000,-36900000,-54100000,-31000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Price,2.2,1.9,2.0,2.1,2.3,3.1,2.1,1.8,1.8,1.7,1.9,2.5,2.7,3.2,4.1,2.7,2.8,2.7,2.2,1.2,1.2,1.4,1.5,1.5,1.9,3.4,3.8,4.2,3.6,3.6,4.1,4.5,4.3,4.1,3.3,3.6,5.4,8.6,6.7,7.6,9.9,12.2,16.9,19.5,20.8,21.2,14.0,15.9,27.1,25.2,12.5,8.4,0.9,0.5,0.3,0.6,0.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Circulating supply,322600000,299600000,293300000,291800000,292100000,290100000,282100000,275600000,268900000,247700000,252200000,267300000,263200000,250800000,245000000,237600000,246800000,258899999,231700000,223600000,220400000,214100000,210800000,206700000,200600000,188300000,183500000,177200000,165100000,161200000,147500000,143900000,141200000,148500000,145100000,154000000,262800000,286500000,277000000,268100000,259200000,249900000,242200000,232500000,222500000,210300000,196700000,182400000,168200000,153700000,135500000,114200000,97100000,75900000,54900000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
