Metric,May 2025,Apr 2025,Mar 2025,Feb 2025,Jan 2025,Dec 2024,Nov 2024,Oct 2024,Sep 2024,Aug 2024,Jul 2024,Jun 2024,May 2024,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,Jun 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019,Jul 2019,Jun 2019,May 2019,Apr 2019,Mar 2019,Feb 2019,Jan 2019,Dec 2018,Nov 2018,Oct 2018,Sep 2018,Aug 2018,Jul 2018,Jun 2018,May 2018,Apr 2018,Mar 2018,Feb 2018,Jan 2018,Dec 2017,Nov 2017,Oct 2017,Sep 2017,Aug 2017,Jul 2017
Net deposits,40000000,39100000,39800000,41100000,42400000,43700000,48200000,129199999,196400000,240300000,293000000,320800000,328600000,352200000,386400000,304100000,331600000,356200000,370900000,346400000,343700000,342000000,352300000,350500000,349600000,355200000,345100000,390200000,400900000,423100000,396900000,379100000,454600000,516200000,582500000,824700000,978900000,1000000000,985800000,993400000,977200000,1000000000,1000000000,947100000,504000000,337800000,173000000,179700000,260200000,295700000,245500000,216100000,121200000,48900000,39300000,26900000,33299999,40200000,35600000,33900000,27000000,22600000,21500000,22700000,15200000,14600000,23800000,22500000,18400000,11800000,7900000,4900000,2700000,402300,279800,105300,124200,59100,32700,585.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fees,769.5,1200,1700,1800,3300,3600,2700,367900,639700,1300000,1500000,1500000,2600000,3500000,4900000,3900000,5100000,7200000,8600000,6500000,4200000,4400000,5500000,6200000,4900000,7400000,10200000,8300000,8700000,4400000,6900000,4300000,6100000,8300000,7900000,6300000,13100000,16800000,14900000,17100000,21900000,34000000,54600000,73000000,39200000,13200000,1700000,1800000,4900000,2600000,2200000,5300000,5600000,1400000,1200000,367800,673800,740900,268300,169300,161100,137800,99000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
(Supply-side fees),769.5,1200,1700,1800,3300,3600,2700,1300,1200,1700,1600,1600,1600,2000,2800,2000,4400,1400,236.1,3.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366700,638500,1300000,1500000,1500000,2600000,3500000,4900000,3900000,5100000,7200000,8600000,6500000,4200000,4400000,5500000,6200000,4900000,7400000,10200000,8300000,8700000,4400000,6900000,4300000,6100000,8300000,7900000,6300000,13100000,16800000,14900000,17100000,21900000,34000000,54600000,73000000,39200000,13200000,1700000,1800000,4900000,2600000,2200000,5300000,5600000,1400000,1200000,367800,673800,740900,268300,169300,161100,137800,99000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
(Expenses),1700000,3500,13700000,1200000,15800,1200000,59500000,80100,5100000,3900000,30600,4800000,77300,5500000,971000,2000000,3300000,6600000,10900000,4500000,4400000,4900000,5000000,5300000,5600000,8100000,8300000,10800000,10100000,6800000,11000000,6000000,8199999,13200000,11200000,8300000,11200000,23200000,32600000,29900000,35600000,86500000,100100000,128100000,658600000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
(Token incentives),1700000,3500,13700000,1200000,15800,1200000,59500000,80100,5100000,3900000,30600,4800000,77300,5500000,971000,2000000,3300000,6600000,10900000,4500000,4400000,4900000,5000000,5300000,5600000,8100000,8300000,10800000,10100000,6800000,11000000,6000000,8199999,13200000,11200000,8300000,11200000,23200000,32600000,29900000,35600000,86500000,100100000,128100000,658600000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Earnings,-1700000,-3500,-13700000,-1200000,-15800,-1200000,-59500000,286600,-4461500,-2600000,1469400,-3300000,2522700,-2000000,3929000,1900000,1800000,600000,-2300000,2000000,-200000,-500000,500000,900000,-700000,-700000,1900000,-2500000,-1400000,-2400000,-4100000,-1700000,-2099999,-4900000,-3300000,-2000000,1900000,-6400000,-17700000,-12800000,-13700000,-52500000,-45500000,-55100000,-619400000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Price,0.6,0.6,0.7,0.8,1.3,1.8,1.3,1.0,0.9,1.0,1.3,1.6,2.1,2.5,3.7,3.1,2.7,3.1,3.0,2.0,2.0,2.1,2.0,1.9,2.2,2.6,2.5,2.9,1.6,1.4,1.9,1.5,1.4,2.0,2.0,1.5,2.4,5.0,5.1,6.5,7.1,9.1,14.7,20.5,14.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Circulating supply,775300000,769000000,759000000,731300000,721600000,711100000,685900000,644200000,628600000,616200000,605300000,583000000,554800000,479300000,443500000,416000000,377800000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fully diluted market cap,584800000,514000000,497200000,561700000,931500000,1300000000,878700000,644300000,720000000,808700000,1000000000,1200000000,1500000000,1800000000,2600000000,2100000000,1100000000,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
