Metric,May 2025,Apr 2025,Mar 2025,Feb 2025,Jan 2025,Dec 2024,Nov 2024,Oct 2024,Sep 2024,Aug 2024,Jul 2024,Jun 2024,May 2024,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,Jun 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019,Jul 2019,Jun 2019,May 2019,Apr 2019,Mar 2019,Feb 2019,Jan 2019,Dec 2018,Nov 2018,Oct 2018,Sep 2018,Aug 2018,Jul 2018,Jun 2018,May 2018,Apr 2018,Mar 2018
Fees,23100,28900,23100,33600,70900,109200,93200,78200,43500,58700,92600,146800,243600,163100,73400,55600,88200,54600,114900,22000,88800,30400,32600,56300,74200,78200,59900,77000,44100,34400,36700,60900,84100,120500,60800,159300,112400,99900,48800,192800,107600,384300,367300,153200,98600,823500,289300,1100000,616800,2300000,2000000,5400000,1600000,1700000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Revenue,23100,28900,23100,33600,70900,109200,93200,78200,43500,58700,92600,146800,243600,163100,73400,55600,88200,54600,114900,22000,88800,30400,32600,56300,74200,78200,59900,77000,44100,34400,36700,60900,84100,120500,60800,159300,112400,99900,48800,192800,107600,384300,367300,153200,98600,823500,289300,1100000,616800,2300000,2000000,5400000,1600000,1700000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
(Expenses),1300000,2100000,2500000,3200000,5700000,6400000,5000000,4400000,3900000,3500000,4800000,6100000,7300000,7500000,9400000,5300000,4400000,4200000,3500000,2000000,2200000,2500000,3200000,2600000,3200000,3500000,3700000,3400000,2000000,1500000,1800000,2600000,2500000,2900000,2500000,2500000,5400000,9500000,8900000,9700000,10700000,15200000,24100000,17800000,17800000,19200000,12600000,15500000,24400000,41600000,45700000,34500000,10600000,3700000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
(Cost of revenue),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606.5,1600,2300,3100,4900,2800,12100,7400,5600,6700,4400,3400,3400,14900,9500,6100,424.6,415.6,33.8,31.7,49.4,3600,6900,4800,4400,13300,13200,53800,10100,13600,6200,10600,5000,210.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
(Token incentives),1300000,2100000,2500000,3200000,5700000,6400000,5000000,4400000,3900000,3500000,4800000,6100000,7300000,7500000,9400000,5300000,4400000,4200000,3500000,2000000,2200000,2500000,3200000,2600000,3200000,3500000,3700000,3400000,2000000,1500000,1800000,2600000,2500000,2900000,2500000,2400000,5400000,9500000,8900000,9700000,10700000,15200000,24100000,17800000,17800000,19200000,12500000,15500000,24400000,41600000,45700000,34500000,10600000,3700000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Earnings,-1276900,-2071100,-2476900,-3166400,-5629100,-6290800,-4906800,-4321800,-3856500,-3441300,-4707400,-5953200,-7056400,-7336900,-9326600,-5244400,-4311800,-4145400,-3385100,-1978000,-2111200,-2469600,-3167400,-2543700,-3125800,-3421800,-3640100,-3323000,-1955900,-1465600,-1763300,-2539100,-2415900,-2779500,-2439200,-2340700,-5287600,-9400100,-8851200,-9507200,-10592400,-14815700,-23732700,-17646800,-17701400,-18376500,-12310700,-14400000,-23783200,-39300000,-43700000,-29100000,-9000000,-2000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gross profit,23100,28900,23100,33600,70900,109200,93200,78200,43500,58700,92600,146800,243600,163100,73400,55600,88200,54600,114900,22000,88200,28800,30200,53200,69200,75400,47900,69700,38600,27700,32299,57400,80800,105700,51300,153200,112000,99500,48800,192800,107600,380700,360400,148400,94200,810200,276000,1100000,606700,2300000,2000000,5400000,1600000,308900,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Price,0.1,0.1,0.1,0.1,0.2,0.3,0.2,0.2,0.2,0.1,0.2,0.2,0.3,0.3,0.4,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.4,0.4,0.5,0.7,1.0,0.8,0.8,0.8,0.6,0.7,1.2,1.7,1.7,1.6,0.4,0.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Circulating supply,9500000000,9500000000,9500000000,9500000000,9500000000,9500000000,9500000000,9500000000,9500000000,9500000000,9500000000,9500000000,9500000000,9500000000,9400000000,9400000000,9400000000,9300000000,9300000000,9300000000,9200000000,9100000000,9100000000,9000000000,9000000000,8900000000,8900000000,8900000000,8100000000,7400000000,7400000000,7400000000,7400000000,7400000000,7400000000,7400000000,6900000000,6800000000,6200000000,6200000000,5500000000,5100000000,5000000000,5000000000,5000000000,4800000000,3100000000,1900000000,1200000000,1200000000,1200000000,1200000000,1200000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fully diluted market cap,1200000000,913600000,1100000000,1500000000,2200000000,2800000000,2200000000,1700000000,1700000000,1600000000,2100000000,2600000000,3200000000,3100000000,4099999999,2300000000,1800000000,1800000000,1300000000,881600000,863500000,988700000,1200000000,1100000000,1200000000,1500000000,1400000000,1500000000,780600000,613400000,686800000,877800000,1000000000,1200000000,1000000000,1200000000,2000000000,3900000000,3900000000,4200000000,5300000000,6900000000,10000000000,8199999999,8100000000,8500000000,6100000000,6600000000,11600000000,17000000000,17500000000,16399999999,4400000000,3900000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
