Metric,May 2025,Apr 2025,Mar 2025,Feb 2025,Jan 2025,Dec 2024,Nov 2024,Oct 2024,Sep 2024,Aug 2024,Jul 2024,Jun 2024,May 2024,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,Jun 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019,Jul 2019,Jun 2019,May 2019,Apr 2019
Net deposits,209000000,189600000,206900000,241700000,289900000,318600000,259700000,211700000,200400000,193400000,207800000,211100000,211800000,226000000,271500000,201600000,182300000,182400000,130500000,98700000,99800000,115500000,126200000,122300000,117100000,124600000,108700000,108600000,86400000,83600000,102000000,132699999,149600000,195600000,193100000,218800000,432000000,925400000,1000000000,983800000,1100000000,1700000000,1600000000,1100000000,757400000,119400000,16200000,78.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trading volume,1100000000,2100000000,2000000000,2400000000,3700000000,5200000000,5400000000,2400000000,2300000000,3300000000,2800000000,1500000000,2000000000,2700000000,7000000000,2900000000,3500000000,5000000000,2500000000,904000000,511400000,675500000,1200000000,1300000000,857300000,1900000000,2300000000,1400000000,854100000,222200000,326200000,248300000,358300000,585100000,743600000,1400000000,3600000000,3100000000,4600000000,6100000000,9700000000,15000000000,15800000000,7200000000,5600000000,1400000000,24200000,5.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fees,419400,936200,1900000,3100000,3800000,6000000,6200000,2400000,2400000,3200000,2700000,1700000,2500000,3900000,12100000,4300000,6300000,10000000,3900000,1200000,566100,805300,1600000,1900000,2500000,3400000,4300000,2500000,1600000,451900,933800,745000,1100000,1800000,2200000,4200000,10700000,9400000,13800000,18200000,29200000,44900000,47500000,21700000,16800000,4099999,72700,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
(Supply-side fees),356800,800500,1600000,2700000,3400000,5300000,5500000,2100000,2100000,2800000,2400000,1500000,2200000,3400000,10500000,3800000,5400000,8500000,3400000,1100000,510600,716800,1500000,1700000,2200000,3300000,4200000,2400000,1500000,411200,779100,620800,895800,1500000,1900000,3500000,8900000,7900000,11500000,15100000,24300000,37400000,39600000,18100000,14000000,3400000,60600,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Revenue,62700,135800,279800,440100,473000,720000,758500,314000,297700,394800,339700,212300,304000,489300,1600000,573100,944400,1500000,495000,112700,55500,88400,168200,161800,312400,65300,109000,79100,84200,40600,154800,124200,179200,292600,371800,692900,1800000,1600000,2300000,3000000,4900000,7500000,7900000,3600000,2800000,684300,12100,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
(Expenses),216.3,73.0,6.4,497.4,388.4,1400,1500,176.2,104.8,280.8,47.2,236.9,1300,792.5,19900,1300,2900,10900,9800,4200,2900,8000,11800,28900,25600,87600,123800,89900,107900,161400,203500,325400,403000,535000,585800,796900,2900000,6700000,7800000,9100000,12200000,20200000,31800000,43100000,49300000,12400000,2400000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
(Token incentives),216.3,73.0,6.4,497.4,388.4,1400,1500,176.2,104.8,280.8,47.2,236.9,1300,792.5,19900,1300,2900,10900,9800,4200,2900,8000,11800,28900,25600,87600,123800,89900,107900,161400,203500,325400,403000,535000,585800,796900,2900000,6700000,7800000,9100000,12200000,20200000,31800000,43100000,49300000,12400000,2400000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Earnings,62483.7,135727,279793.6,439602.6,472611.6,718600,757000,313823.8,297595.2,394519.2,339652.8,212063.1,302700,488507.5,1580100,571800,941500,1489100,485200,108500,52600,80400,156400,132900,286800,-22300,-14800,-10800,-23700,-120800,-48700,-201200,-223800,-242400,-214000,-104000,-1100000,-5100000,-5500000,-6100000,-7300000,-12700000,-23900000,-39500000,-46500000,-11715700,-2387900,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Price,0.2,0.2,0.2,0.2,0.4,0.5,0.4,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.8,0.5,0.5,0.6,0.3,0.2,0.2,0.3,0.4,0.4,0.4,0.6,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.5,1.2,1.0,1.2,1.4,2.3,3.1,2.6,2.6,0.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Circulating supply,398100000,396500000,390900000,385300000,381200000,376300000,372000000,371300000,363700000,360800000,346200000,341500000,341500000,341500000,341500000,341500000,341500000,341500000,341500000,341500000,341500000,342300000,342700000,341400000,344300000,346100000,337700000,334200000,329800000,330500000,341500000,337300000,325400000,311400000,291500000,277800000,244700000,215700000,185400000,169200000,157900000,141700000,118500000,102100000,81500000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
