Metric,May 2025,Apr 2025,Mar 2025,Feb 2025,Jan 2025,Dec 2024,Nov 2024,Oct 2024,Sep 2024,Aug 2024,Jul 2024,Jun 2024,May 2024,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,Jun 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019,Jul 2019,Jun 2019,May 2019,Apr 2019,Mar 2019,Feb 2019,Jan 2019,Dec 2018,Nov 2018,Oct 2018,Sep 2018,Aug 2018,Jul 2018,Jun 2018,May 2018,Apr 2018,Mar 2018,Feb 2018,Jan 2018,Dec 2017,Nov 2017,Oct 2017,Sep 2017,Aug 2017,Jul 2017,Jun 2017,May 2017,Apr 2017,Mar 2017,Feb 2017,Jan 2017,Dec 2016,Nov 2016,Oct 2016,Sep 2016,Aug 2016,Jul 2016,Jun 2016,May 2016
Transfer volume,113200000,190100000,239500000,225100000,297700000,265000000,268500000,113300000,43600000,35700000,26900000,34500000,20100000,85200000,35500000,2900000,152100,238900,428800,42000,103300,0.0,3000,6.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fees,12200,14900,14500,20300,56400,57200,52100,39800,30200,24200,43200,53800,74300,129400,251500,61100,42300,24300,24900,14000,34500,29900,28200,990.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Revenue,12200,14900,14500,20300,56400,57200,52100,39800,30200,24200,43200,53800,74300,129400,251500,61100,42300,24300,24900,14000,34500,29900,28200,990.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Price,15.5,13.2,14.5,18.3,23.1,24.2,14.6,11.2,11.1,10.9,13.4,15.2,15.6,15.5,19.5,19.0,14.7,15.3,14.0,8.6,6.6,6.7,7.0,5.8,6.6,7.4,7.0,7.3,6.5,6.4,7.0,7.2,7.4,7.7,6.7,7.0,8.2,14.4,14.8,16.0,21.6,20.6,29.9,27.8,27.2,25.8,17.8,22.8,37.5,35.0,28.5,28.5,19.0,12.6,12.9,10.7,11.2,14.2,6.9,4.4,3.8,3.3,2.9,3.8,2.4,2.0,2.6,2.5,1.7,2.3,2.8,1.7,0.9,0.5,0.5,0.4,0.4,0.3,0.4,0.4,0.3,0.3,0.2,0.2,0.5,0.4,0.5,0.6,0.9,0.4,0.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Circulating supply,657100000,642500000,638100000,638100000,633600000,628500000,626800000,626800000,615000000,608100000,608100000,594100000,587100000,587100000,587100000,586400000,566600000,556800000,556800000,556800000,545000000,538100000,522500000,517100000,517100000,517100000,493200000,491600000,491600000,491600000,491600000,491600000,476100000,467100000,467100000,467000000,467000000,467000000,467000000,467000000,467000000,467000000,465300000,459100000,452500000,446000000,439400000,432800000,426300000,419800000,413000000,406900000,401300000,396800000,392400000,388200000,385600000,383400000,381800000,380900000,379900000,364400000,364400000,364400000,364400000,364400000,364400000,364400000,364400000,364400000,364400000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fully diluted market cap,15500000000,13200000000,14500000000,18300000000,23100000000,24200000000,14600000000,11200000000,11100000000,10900000000,13400000000,15200000000,15600000000,15500000000,19500000000,19000000000,14700000000,15300000000,14000000000,8600000000,6600000000,6700000000,7000000000,5800000000,6600000000,7400000000,7000000000,7300000000,6500000000,6400000000,7000000000,7200000000,7400000000,7700000000,6700000000,7000000000,8199999999,14400000000,14800000000,16000000000,21600000000,20600000000,29900000000,27800000000,27200000000,25800000000,17800000000,22800000000,37500000000,35000000000,28500000000,28500000000,19000000000,12600000000,12900000000,10700000000,11200000000,14200000000,6900000000,4400000000,3800000000,3300000000,2900000000,3800000000,2400000000,2000000000,2600000000,2500000000,1700000000,2300000000,2800000000,1700000000,871100000,510100000,467000000,434200000,434700000,264600000,441400000,373000000,300500000,288500000,235000000,244400000,457000000,402000000,453700000,568600000,922800000,403000000,176700000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Circulating market cap,10200000000,8500000000,9200000000,11700000000,14600000000,15200000000,9100000000,7000000000,6800000000,6600000000,8199999999,9000000000,9100000000,9100000000,11500000000,11100000000,8300000000,8500000000,7800000000,4800000000,3600000000,3600000000,3700000000,3000000000,3400000000,3800000000,3400000000,3600000000,3200000000,3200000000,3400000000,3600000000,3500000000,3600000000,3100000000,3300000000,3800000000,6700000000,6900000000,7500000000,10100000000,9600000000,13900000000,12800000000,12300000000,11500000000,7800000000,9900000000,16000000000,14700000000,11800000000,11600000000,7600000000,5000000000,5100000000,4200000000,4300000000,5400000000,2600000000,1700000000,1500000000,1200000000,1100000000,1400000000,862100000,717500000,960300000,901500000,635000000,822100000,1000000000,623000000,317400000,185800000,170200000,158200000,158400000,96500000,160800000,135900000,109600000,104000000,82300000,85500000,160000000,140700000,158800000,199000000,323000000,141100000,61800000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Token trading volume,8900000000,13600000000,19200000000,22400000000,35000000000,80700000000,31100000000,12100000000,9900000000,10100000000,11700000000,11000000000,15500000000,14500000000,23300000000,21400000000,18300000000,21400000000,24100000000,16100000000,6700000000,6500000000,8600000000,4900000000,4400000000,8800000000,10500000000,12600000000,9400000000,6500000000,17700000000,10900000000,15300000000,14400000000,16000000000,20000000000,15600000000,14600000000,17600000000,17300000000,47800000000,31100000000,32400000000,34900000000,46800000000,37900000000,24000000000,37900000000,86700000000,64599999999,48800000000,70700000000,74900000000,30100000000,33600000000,22500000000,35700000000,44800000000,21400000000,10500000000,12600000000,14100000000,13600000000,11400000000,4800000000,3600000000,4000000000,4099999999,3800000000,2300000000,4600000000,4200000000,1100000000,248700000,284700000,184500000,391300000,103400000,191000000,112200000,76300000,61400000,38400000,30000000,148500000,321900000,209800000,228800000,357600000,303100000,68100000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Token turnover (fully diluted),3.3,3.5,4.2,4.3,4.9,10.5,6.9,3.5,3.0,3.0,2.8,2.4,3.1,3.2,3.8,3.9,4.0,4.5,5.7,5.5,3.3,3.1,3.8,2.9,2.1,3.9,4.9,6.1,4.6,3.2,8.3,4.8,6.8,6.0,7.6,9.5,6.4,3.4,3.8,3.9,7.0,4.9,3.6,4.0,5.7,4.7,4.3,5.7,8.0,6.0,5.5,8.9,12.8,7.8,8.6,6.8,10.6,10.2,9.9,8.0,10.6,14.3,15.9,10.2,6.4,6.0,5.1,5.2,7.3,3.3,5.1,6.6,3.7,1.6,2.0,1.5,2.9,1.2,1.4,0.9,0.8,0.7,0.5,0.4,1.0,2.7,1.7,1.4,1.2,2.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Token turnover (circulating),5.0,5.5,6.6,6.8,7.7,16.7,11.0,5.6,4.8,5.0,4.7,4.1,5.3,5.4,6.5,6.7,7.1,8.1,10.3,9.9,6.1,5.8,7.3,5.6,4.1,7.6,9.9,12.4,9.3,6.5,16.9,9.8,14.2,12.8,16.3,20.4,13.7,7.2,8.2,8.4,14.9,10.4,7.8,8.8,12.7,10.6,9.8,13.1,18.7,14.3,13.3,21.9,32.0,19.7,22.0,17.5,27.4,26.7,25.9,21.1,27.8,39.3,43.9,28.0,17.6,16.3,14.1,14.4,20.2,9.1,13.9,18.1,10.1,4.4,5.3,4.2,7.9,3.4,4.0,2.5,2.1,1.9,1.4,1.2,2.7,7.7,4.7,4.0,3.5,7.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
