Metric,May 2025,Apr 2025,Mar 2025,Feb 2025,Jan 2025,Dec 2024,Nov 2024,Oct 2024,Sep 2024,Aug 2024,Jul 2024,Jun 2024,May 2024,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,Jun 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019,Jul 2019,Jun 2019,May 2019,Apr 2019,Mar 2019,Feb 2019,Jan 2019,Dec 2018,Nov 2018,Oct 2018,Sep 2018,Aug 2018,Jul 2018,Jun 2018,May 2018,Apr 2018,Mar 2018,Feb 2018,Jan 2018,Dec 2017,Nov 2017,Oct 2017,Sep 2017,Aug 2017,Jul 2017,Jun 2017,May 2017,Apr 2017,Mar 2017,Feb 2017,Jan 2017,Dec 2016,Nov 2016,Oct 2016,Sep 2016,Aug 2016,Jul 2016
Fees,18300,28800,48900,33000,27900,23400,26100,23600,30500,15600,15700,19000,18300,14100,28400,23700,30700,29400,16900,21600,32700,36200,28000,22400,24400,25700,33200,30600,26700,22000,50800,43000,36400,31600,23400,21800,28000,34900,45400,43500,48600,43300,52800,58700,37300,13900,21300,34000,18500,18500,15300,15500,11600,4900,956.8,1200,827.9,1500,386.1,163.0,93.0,27.5,557.8,742.7,505.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
(Supply-side fees),18300,28800,48900,33000,27900,23400,26100,23600,30500,15600,15700,19000,18300,14100,28400,23700,30700,29400,16900,21600,32700,36200,28000,22400,24400,25700,33200,30600,26700,22000,50800,43000,36400,31600,23400,21800,28000,34900,45400,43500,48600,43300,52800,58700,37300,13900,21300,34000,18500,18500,15300,15500,11600,4900,956.8,1200,827.9,1500,386.1,163.0,93.0,27.5,557.8,742.7,505.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
(Expenses),2600000,3700000,4300000,5000000,9300000,11000000,7000000,7200000,6900000,6500000,7600000,9500000,8300000,6200000,7800000,3900000,2700000,2600000,2100000,1900000,1800000,1800000,1200000,1100000,1300000,1400000,1300000,1600000,1100000,1100000,1200000,1900000,2100000,2300000,2100000,1800000,3200000,4900000,4500000,3000000,5200000,6200000,7800000,3000000,2400000,2700000,2100000,3100000,4000000,4600000,2100000,562300,432700,312300,283500,534700,711900,745300,625700,1100000,291400,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
(Token incentives),2600000,3700000,4300000,5000000,9300000,11000000,7000000,7200000,6900000,6500000,7600000,9500000,8300000,6200000,7800000,3900000,2700000,2600000,2100000,1900000,1800000,1800000,1200000,1100000,1300000,1400000,1300000,1600000,1100000,1100000,1200000,1900000,2100000,2300000,2100000,1800000,3200000,4900000,4500000,3000000,5200000,6200000,7800000,3000000,2400000,2700000,2100000,3100000,4000000,4600000,2100000,562300,432700,312300,283500,534700,711900,745300,625700,1100000,291400,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Earnings,-2600000,-3700000,-4300000,-5000000,-9300000,-11000000,-7000000,-7200000,-6900000,-6500000,-7600000,-9500000,-8300000,-6200000,-7800000,-3900000,-2700000,-2600000,-2100000,-1900000,-1800000,-1800000,-1200000,-1100000,-1300000,-1400000,-1300000,-1600000,-1100000,-1100000,-1200000,-1900000,-2100000,-2300000,-2100000,-1800000,-3200000,-4900000,-4500000,-3000000,-5200000,-6200000,-7800000,-3000000,-2400000,-2700000,-2100000,-3100000,-4000000,-4600000,-2100000,-562300,-432700,-312300,-283500,-534700,-711900,-745300,-625700,-1100000,-291400,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Price,5.4,4.4,5.6,7.7,13.5,16.8,11.5,12.0,12.9,12.0,14.8,20.1,18.6,14.6,19.1,11.1,7.3,7.6,6.7,6.0,6.1,6.0,4.3,4.4,5.0,6.4,6.3,8.6,5.9,6.2,8.0,9.0,9.7,11.1,9.2,9.9,16.3,24.9,25.7,27.1,32.9,40.5,51.5,22.0,18.5,19.2,14.9,24.6,29.1,31.2,13.6,3.9,2.3,1.5,1.4,2.3,3.3,2.9,2.0,2.8,1.7,0.6,0.9,1.8,1.9,1.4,2.1,2.8,4.6,6.6,6.3,6.4,7.2,7.3,7.0,5.1,2.5,4.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Circulating supply,40400000,39800000,38900000,38100000,37400000,36600000,35900000,35200000,34600000,33900000,33400000,32799999,32299999,31800000,31300000,30900000,30500000,30100000,29700000,29400000,29000000,28700000,28400000,28200000,27900000,27700000,27500000,27300000,27100000,26500000,26200000,26200000,26200000,26100000,25900000,25700000,25500000,24900000,24900000,24900000,24800000,24600000,24400000,24300000,24200000,24000000,23900000,23800000,23600000,23500000,23300000,23200000,23000000,22800000,22600000,22400000,22200000,16500000,6500000,6300000,6400000,6400000,6400000,6500000,6400000,6400000,6500000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fully diluted market cap,217100000,175000000,219000000,294900000,504100000,613400000,413500000,420800000,446000000,407600000,492700000,659800000,602100000,464900000,598500000,342600000,222900000,228400000,198900000,175000000,178300000,173200000,112500000,110700000,127200000,161900000,159800000,219500000,149300000,158100000,202800000,228300000,246900000,281900000,233100000,251100000,414600000,621400000,641100000,675300000,820200000,1000000000,1300000000,548800000,460300000,478000000,372100000,613400000,724900000,776800000,338100000,98000000,57700000,36700000,35400000,56300000,82500000,71300000,43200000,61500000,36200000,12700000,19600000,38600000,41100000,31600000,46400000,60600000,101400000,145000000,138900000,139500000,157300000,160200000,152500000,111400000,55000000,87700000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Circulating market cap,217100000,175000000,218900000,294800000,504300000,613300000,413200000,420700000,446000000,407600000,492600000,658900000,602400000,465100000,598400000,342600000,222800000,228300000,198900000,174900000,178400000,173100000,122900000,122600000,139600000,176100000,172600000,235300000,158900000,164600000,209100000,235300000,254600000,289400000,238300000,253600000,415700000,621600000,641800000,674400000,816900000,997200000,1300000000,535600000,446700000,460900000,356500000,584600000,686800000,733000000,316500000,90800000,53300000,33600000,32200000,50600000,73500000,53800000,12800000,17900000,10500000,3700000,5700000,11400000,12100000,9200000,13700000,15700000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
