Metric,May 2025,Apr 2025,Mar 2025,Feb 2025,Jan 2025,Dec 2024,Nov 2024,Oct 2024,Sep 2024,Aug 2024,Jul 2024,Jun 2024,May 2024,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,Jun 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019,Jul 2019,Jun 2019,May 2019,Apr 2019,Mar 2019,Feb 2019,Jan 2019,Dec 2018,Nov 2018,Oct 2018,Sep 2018,Aug 2018,Jul 2018,Jun 2018,May 2018,Apr 2018,Mar 2018,Feb 2018,Jan 2018,Dec 2017,Nov 2017,Oct 2017,Sep 2017,Aug 2017
Fees,189700,314700,356300,674500,808000,1400000,1000000,530000,519400,760300,630900,659900,786300,2600000,3300000,1900000,1600000,3600000,3600000,1300000,1300000,1600000,2200000,2700000,3500000,5100000,4200000,5800000,1900000,1400000,3000000,1700000,1100000,1600000,1500000,1400000,2300000,1700000,1500000,1800000,6700000,3600000,2200000,1500000,1100000,931200,553600,319600,83300,14200,5800,337.3,23.3,8.7,3.1,4.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
(Supply-side fees),139500,232500,259800,395000,543500,717000,625300,403000,461600,602600,544600,573600,704900,1200000,1800000,1200000,1100000,1400000,1300000,741800,570700,717400,899900,907400,1000000,1400000,1900000,2100000,1200000,942300,1900000,1100000,1100000,1400000,1300000,1000000,1500000,1600000,1500000,1700000,5700000,3600000,2200000,1500000,1100000,931200,553600,319600,83300,14200,5800,337.3,23.3,8.7,3.1,4.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Revenue,50200,82200,96500,279500,264500,636900,414900,127100,57800,157800,86300,86300,81400,1400000,1500000,714600,501600,2100000,2300000,549700,730600,862000,1300000,1800000,2500000,3600000,2400000,3600000,673700,461400,1100000,646400,37800,180800,171100,397300,738600,119700,10500,98800,923000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
(Expenses),1800000,2600000,3000000,3600000,5900000,7400000,5400000,5800000,6700000,7800000,9100000,10200000,11800000,12500000,17900000,14600000,13700000,14700000,13200000,9700000,8800000,10700000,12500000,11200000,15700000,17600000,18600000,19100000,16500000,14900000,16100000,15100000,14300000,13900000,13200000,12800000,19900000,34800000,36000000,35900000,50300000,58400000,42500000,35600000,29700000,31100000,23000000,33900000,35200000,11100000,5100000,1900000,521100,406600,424400,460600,479100,698200,589500,221800,16300,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
(Token incentives),1800000,2600000,3000000,3600000,5900000,7400000,5400000,5800000,6700000,7800000,9100000,10200000,11800000,12500000,17900000,14600000,13700000,14700000,13200000,9700000,8800000,10700000,12500000,11200000,15700000,17600000,18600000,19100000,16500000,14900000,16100000,15100000,14300000,13900000,13200000,12800000,19900000,34800000,36000000,35900000,50300000,58400000,42500000,35600000,29700000,31100000,23000000,33900000,35200000,11100000,5100000,1900000,521100,406600,424400,460600,479100,698200,589500,221800,16300,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Earnings,-1749800,-2517800,-2903500,-3320500,-5635500,-6763100,-4985100,-5672900,-6642200,-7642200,-9013700,-10113700,-11718600,-11100000,-16400000,-13885400,-13198400,-12600000,-10900000,-9150300,-8069400,-9838000,-11200000,-9400000,-13200000,-14000000,-16200000,-15500000,-15826300,-14438600,-15000000,-14453600,-14262200,-13719200,-13028900,-12402700,-19161400,-34680300,-35989500,-35801200,-49377000,-58400000,-42500000,-35600000,-29700000,-31100000,-23000000,-33900000,-35200000,-11100000,-5100000,-1900000,-521100,-406600,-424400,-460600,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Price,0.2,0.2,0.2,0.3,0.5,0.6,0.4,0.4,0.4,0.4,0.5,0.6,0.7,0.8,1.1,0.9,0.8,0.9,0.8,0.6,0.5,0.6,0.7,0.7,0.9,1.1,1.1,1.3,0.9,0.8,0.9,0.8,0.8,0.9,0.7,0.5,0.8,1.4,1.5,1.7,2.0,2.3,1.8,1.5,1.3,1.3,1.0,1.4,1.4,0.4,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Circulating supply,8800000000,8700000000,8600000000,8600000000,8500000000,8400000000,7900000000,7600000000,6000000000,243800000,224700000,198400000,163700000,147800000,113700000,105900000,84400000,71800000,63400000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fully diluted market cap,2500000000,2100000000,2300000000,3200000000,4700000000,5900000000,4500000000,3700000000,4099999999,4600000000,5300000000,6300000000,7200000000,7900000000,10900000000,9200000000,8300000000,8700000000,7800000000,6300000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Circulating market cap,2100000000,1700000000,1900000000,2600000000,3900000000,4800000000,3400000000,2700000000,2400000000,109100000,116600000,121400000,115700000,114400000,122300000,96600000,69200000,62700000,49500000,40000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
