Metric,May 2025,Apr 2025,Mar 2025,Feb 2025,Jan 2025,Dec 2024,Nov 2024,Oct 2024,Sep 2024,Aug 2024,Jul 2024,Jun 2024,May 2024,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021
Active loans,103700000,86800000,91300000,125600000,155800000,169200000,142200000,141600000,115200000,99000000,90100000,62800000,70700000,80600000,100200000,79500000,83100000,77800000,38500000,22700000,21700000,25700000,31700000,32600000,38200000,43700000,37700000,42200000,31300000,28900000,33400000,64400000,84000000,125700000,107900000,93400000,216600000,790500000,1200000000,1400000000,1800000000,2300000000,1900000000,971800000,773600000,491100000,N/A,N/A,N/A,N/A
Fees,283400,396400,445700,541800,889100,1100000,785600,833300,673500,682400,593600,401300,463000,569900,773500,445000,449900,394100,179000,123500,107700,131800,164000,159000,186400,217800,193200,190900,143900,132200,150100,335900,454000,729300,603500,493400,1100000,4600000,7900000,9000000,13200000,17300000,14500000,8199999,4200000,1200000,N/A,N/A,N/A,N/A
(Supply-side fees),232000,325000,366400,444700,730700,913400,643900,687200,554000,561300,487200,335400,388000,477200,648300,372000,384100,337000,151800,103600,90700,111000,133200,127800,150100,175300,155900,154200,116300,107500,121900,271900,369900,599000,497000,405100,917800,3800000,6500000,7300000,10700000,14000000,11600000,6600000,3400000,956300,N/A,N/A,N/A,N/A
Revenue,51400,71400,79400,97100,158400,196400,141700,146100,119500,121100,106400,65800,75000,92700,125300,73000,65900,57100,27200,19800,17000,20800,30800,31200,36400,42500,37300,36700,27500,24700,28200,64000,84100,130300,106500,88300,206200,852700,1500000,1700000,2500000,3300000,2900000,1600000,844900,237100,N/A,N/A,N/A,N/A
(Expenses),249700,311300,280700,560100,835300,1000000,978400,740600,705900,633500,573500,285000,225300,329000,705100,457600,458700,895800,250400,135100,101800,138000,177600,175800,279500,258700,257000,392300,384900,309000,503200,754000,593300,1100000,1100000,1000000,1500000,5600000,7900000,9100000,13600000,22200000,25700000,15700000,14600000,6700000,N/A,N/A,N/A,N/A
(Token incentives),249700,311300,280700,560100,835300,1000000,978400,740600,705900,633500,573500,285000,225300,329000,705100,457600,458700,895800,250400,135100,101800,138000,177600,175800,279500,258700,257000,392300,384900,309000,503200,754000,593300,1100000,1100000,1000000,1500000,5600000,7900000,9100000,13600000,22200000,25700000,15700000,14600000,6700000,N/A,N/A,N/A,N/A
Earnings,-198300,-239900,-201300,-463000,-676900,-803600,-836700,-594500,-586400,-512400,-467100,-219200,-150300,-236300,-579800,-384600,-392800,-838700,-223200,-115300,-84800,-117200,-146800,-144600,-243100,-216200,-219700,-355600,-357400,-284300,-475000,-690000,-509200,-969700,-993500,-911700,-1293800,-4747300,-6400000,-7400000,-11100000,-18900000,-22800000,-14100000,-13755100,-6462900,N/A,N/A,N/A,N/A
Price,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.2,N/A,N/A,N/A,N/A
Circulating supply,6700000000,6600000000,6300000000,5200000000,5100000000,5100000000,5000000000,4900000000,4900000000,4800000000,4700000000,4700000000,4600000000,4500000000,4400000000,4400000000,4300000000,4200000000,4099999999,4000000000,4000000000,3900000000,3800000000,3800000000,3600000000,3500000000,3500000000,3400000000,3300000000,3200000000,3100000000,3000000000,3000000000,2800000000,2600000000,2300000000,2000000000,1800000000,1600000000,1400000000,1300000000,1000000000,873600000,689400000,428700000,N/A,N/A,N/A,N/A,N/A
Fully diluted market cap,62300000,57500000,57900000,71500000,107000000,147400000,109400000,94800000,102700000,95600000,106700000,121000000,128000000,140400000,190400000,125000000,126000000,137500000,53200000,37900000,37300000,40700000,46100000,45300000,58300000,72900000,65900000,75800000,54600000,52300000,55000000,63500000,75700000,110200000,112900000,95900000,132300000,363000000,400400000,457000000,664900000,1200000000,1400000000,857900000,1000000000,1500000000,N/A,N/A,N/A,N/A
