Metric,May 2025,Apr 2025,Mar 2025,Feb 2025,Jan 2025,Dec 2024,Nov 2024,Oct 2024,Sep 2024,Aug 2024,Jul 2024,Jun 2024,May 2024,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022
Net deposits,45100000,38600000,40800000,47700000,54700000,56800000,51300000,71400000,99400000,110700000,142400000,198100000,263200000,357300000,492900000,503700000,501300000,661700000,698100000,583900000,537200000,555500000,615600000,587700000,640500000,541100000,387700000,293500000,125000000,95600000,94200000,100800000,215300000,369200000,219300000,N/A,N/A,N/A,N/A
Active loans,44000000,37700000,39800000,46300000,52800000,54700000,48800000,45100000,47200000,50700000,73000000,102400000,119400000,159700000,223600000,249700000,258000000,322400000,348700000,315600000,304000000,316400000,346300000,336400000,378900000,325300000,252100000,213500000,90300000,68800000,65400000,69400000,157500000,272200000,156500000,N/A,N/A,N/A,N/A
Fees,2400,8800,12000,14800,29500,17900,42600,148500,287200,312600,468300,764700,801000,1300000,1900000,1600000,2000000,2300000,2400000,1800000,1700000,2200000,2300000,2000000,2100000,2300000,1800000,1200000,492900,370300,322600,359500,915700,1700000,202700,N/A,N/A,N/A,N/A
(Supply-side fees),725.9,2400,3200,4000,7600,4700,10900,37400,72000,78400,117400,191500,200500,332300,474800,399900,503900,586000,594500,448700,416900,548500,580100,491800,534500,580700,737800,579700,246500,185100,161300,179700,457900,861900,101400,N/A,N/A,N/A,N/A
Revenue,1700,6400,8800,10800,21900,13200,31700,111100,215200,234200,350900,573200,600400,995900,1400000,1200000,1500000,1800000,1800000,1300000,1200000,1600000,1700000,1500000,1600000,1700000,1000000,579700,246500,185100,161300,179700,457900,861900,101400,N/A,N/A,N/A,N/A
(Expenses),29200,47200,34500,38600,64800,115300,94500,339700,684900,694600,1000000,1500000,2100000,2700000,4400000,4200000,4300000,4800000,4500000,3900000,3700000,4800000,5400000,5400000,6800000,8500000,2900000,253500,145000,151600,141400,162300,437000,1500000,8000,N/A,N/A,N/A,N/A
(Token incentives),29200,47200,34500,38600,64800,115300,94500,339700,684900,694600,1000000,1500000,2100000,2700000,4400000,4200000,4300000,4800000,4500000,3900000,3700000,4800000,5400000,5400000,6800000,8500000,2900000,253500,145000,151600,141400,162300,437000,1500000,8000,N/A,N/A,N/A,N/A
Earnings,-27500,-40800,-25700,-27800,-42900,-102100,-62800,-228600,-469700,-460400,-649100,-926800,-1499600,-1704100,-3000000,-3000000,-2800000,-3000000,-2700000,-2600000,-2500000,-3200000,-3700000,-3900000,-5200000,-6800000,-1900000,326200,101500,33500,19900,17400,20900,-638100,93400,N/A,N/A,N/A,N/A
Price,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.1,0.1,N/A,N/A,N/A,N/A
Circulating supply,1200000000,1200000000,1200000000,1200000000,1200000000,1200000000,1200000000,1100000000,1100000000,1100000000,800700000,572400000,512799999,484700000,460200000,449000000,433100000,397100000,363000000,330600000,307600000,296200000,284000000,269500000,260899999,242400000,202800000,189700000,58900000,27700000,27700000,27700000,27700000,27700000,N/A,N/A,N/A,N/A,N/A
