Metric,May 2025,Apr 2025,Mar 2025,Feb 2025,Jan 2025,Dec 2024,Nov 2024,Oct 2024,Sep 2024,Aug 2024,Jul 2024,Jun 2024,May 2024,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021
Outstanding supply,29300000,29200000,29200000,29400000,29400000,29300000,29500000,29300000,29500000,29300000,29300000,30900000,31600000,31400000,31600000,31700000,37800000,38400000,38300000,39200000,43300000,54000000,79600000,79100000,87200000,91900000,95400000,110100000,92400000,88800000,118300000,207200000,215400000,225100000,204100000,288100000,602700000,1200000000,1600000000,1700000000,3100000000,3100000000,2200000000,1200000000,292800000,74900000,58500000,48700000,N/A,N/A,N/A,N/A,N/A
Fees,4600,19500,23200,19600,22700,23900,25200,19900,23100,22100,22300,31900,37700,37100,79000,65800,85300,86600,81100,91700,107900,194500,424200,462900,357500,422900,452500,338400,334500,192000,170500,303900,314900,336800,421100,371400,1000000,2000000,3200000,3400000,15900000,17800000,11700000,8400000,2300000,203700,65900,79900,N/A,N/A,N/A,N/A,N/A
Revenue,4600,19500,23200,19600,22700,23900,25200,19900,23100,22100,22300,31900,37700,37100,79000,65800,85300,86600,81100,91700,107900,194500,424200,462900,357500,422900,452500,338400,334500,192000,170500,303900,314900,336800,421100,371400,1000000,2000000,3200000,3400000,15900000,17800000,11700000,8400000,2300000,203700,65900,79900,N/A,N/A,N/A,N/A,N/A
(Expenses),5000,7400,9000,8800,30400,19100,12300,5900,6500,5600,11900,10200,12100,12600,44200,8600,6900,30500,47300,37500,100700,94300,94800,117500,164100,196900,211800,260800,374900,558200,750800,179900,220600,312200,202100,165600,403200,590000,285900,626500,2800000,5600000,10600000,18500000,4500000,3500000,3100000,3000000,26000,N/A,N/A,N/A,N/A
(Token incentives),5000,7400,9000,8800,30400,19100,12300,5900,6500,5600,11900,10200,12100,12600,44200,8600,6900,30500,47300,37500,100700,94300,94800,117500,164100,196900,211800,260800,374900,558200,750800,179900,220600,312200,202100,165600,403200,590000,285900,626500,2800000,5600000,10600000,18500000,4500000,3500000,3100000,3000000,26000,N/A,N/A,N/A,N/A
Earnings,-400,12100,14200,10800,-7700,4800,12900,14000,16600,16500,10400,21700,25600,24500,34800,57200,78400,56100,33800,54200,7200,100200,329400,345400,193400,226000,240700,77600,-40400,-366200,-580300,124000,94300,24600,219000,205800,596800,1410000,2914100,2773500,13100000,12200000,1100000,-10100000,-2200000,-3296300,-3034100,-2920100,N/A,N/A,N/A,N/A,N/A
Price,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A
Circulating supply,161000000000,159700000000,158400000000,157400000000,154700000000,153300000000,151300000000,150200000000,148700000000,147800000000,146500000000,144900000000,143000000000,141400000000,139900000000,132500000000,130100000000,128500000000,127000000000,125100000000,121400000000,119100000000,118000000000,117100000000,116200000000,115000000000,113500000000,111800000000,110200000000,108400000000,106300000000,103200000000,100800000000,97700000000,95600000000,93200000000,90100000000,87100000000,88000000000,82700000000,80500000000,77900000000,74600000000,66500000000,53500000000,34500000000,24900000000,41100000000,N/A,N/A,N/A,N/A,N/A
Fully diluted market cap,119700000,109900000,129000000,185700000,196100000,177800000,144400000,109000000,107500000,104500000,128800000,171000000,169300000,193200000,258000000,132500000,106500000,121900000,104200000,91700000,91400000,84800000,94100000,95000000,119500000,147700000,140300000,167100000,132400000,114700000,139700000,179100000,234100000,272500000,199000000,192100000,366900000,847000000,784400000,1100000000,2400000000,1800000000,2200000000,1800000000,454800000,248200000,153900000,234600000,103500000,N/A,N/A,N/A,N/A
Circulating market cap,98400000,89500000,104200000,149100000,155100000,138900000,111600000,83500000,81500000,78800000,96200000,126300000,123600000,139400000,183900000,89800000,70700000,79900000,67500000,58500000,56700000,51500000,56700000,56800000,70800000,86700000,81200000,95300000,74500000,63400000,75700000,94300000,120300000,135900000,97100000,91200000,168100000,376900000,353400000,469700000,1100000000,1300000000,1600000000,1200000000,124500000,28600000,12100000,28000000,18400000,N/A,N/A,N/A,N/A
